region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
europe-west3,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0912,0.0183
europe-west4,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0781,0.0164
europe-west6,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0991,0.0209
europe-north1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0781,0.0164
northamerica-northeast1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0781,0.0164
asia,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0821,0.0165
asia-east,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0821,0.0165
asia-east1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0821,0.0165
asia-east2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0991,0.0209
asia-northeast,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.091,0.0198
asia-northeast1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.091,0.0198
asia-northeast2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.091,0.0198
asia-northeast3,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.091,0.0198
asia-southeast,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0874,0.0175
asia-southeast1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0874,0.0175
australia-southeast1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.1006,0.02013
australia-southeast2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.1006,0.02013
australia,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.1006,0.02013
southamerica-east1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.1125,0.0225
asia-south1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0851,0.01792
asia-southeast2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.095266,0.019075
asia-south2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0851,0.01792
us,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.1344,0.24
us-central1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.1344,0.24
us-east1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.1344,0.24
us-east4,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3011,0.2568
us-west4,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3011,0.2568
us-west1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.1344,0.24
us-west2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3616,0.28661
us-west3,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3616,0.28661
europe,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.248,0.264
europe-central2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.4592,0.2928
europe-west1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.248,0.264
europe-west2,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.4592,0.2928
europe-west3,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.4592,0.2928
europe-west4,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.2496,0.2629
europe-west6,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.5861,0.334
europe-north1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.2496,0.2629
northamerica-northeast1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.2496,0.2629
asia,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3136,0.264
asia-east,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3136,0.264
asia-east1,n1,n1-highcpu-32,1,1,1,1,32,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",28.8,32,1.3136,0.264
